N,K,T2,D2
25539,10212,0.00015920835,7.3477569999999987e-05
25539,12765,0.00018688474827586207,8.6637179045092829e-05
25539,15318,0.00015000886666666666,6.5352541176470587e-05
25539,17871,0.00011685216666666666,4.7415522598870055e-05
25539,20424,8.3221599999999996e-05,3.91454e-05
25539,22977,5.0489633333333339e-05,2.5840203144654093e-05
25539,25530,2.1852766666666669e-05,1.3082903846153849e-05
33711,0,2.9026066666666663e-05,1.6383826666666661e-05
33711,3371,6.6405299999999993e-05,3.4088893589743578e-05
33711,6742,0.00011235873333333332,5.2968532051282031e-05
33711,10113,0.00016314723103448277,7.3926771034482771e-05
33711,13484,0.00022764605952380954,0.00010958841326530615
33711,16855,0.00025243851609195401,0.0001161920019893899
33711,20226,0.00022702849629629629,0.00010683650718065005
33711,23597,0.00017616852380952382,8.4339077551020422e-05
33711,26968,0.00011228759999999999,5.2316219230769218e-05
33711,30339,6.7890033333333329e-05,3.4828467924528293e-05
33711,33710,2.88301e-05,1.7381820512820511e-05
44498,0,3.9234199999999998e-05,2.512377037037037e-05
44498,4449,9.4301506896551714e-05,4.7321599053414462e-05
44498,8898,0.00016350764999999997,7.9524289999999972e-05
44498,13347,0.00021310986666666666,9.6719669230769238e-05
44498,17796,0.00027217849999999999,0.00012166514999999996
44498,22245,0.00035425069285714283,0.00015800143367346935
44498,26694,0.00027456083333333336,0.00012302898484848484
44498,31143,0.00021346193333333333,9.6938376190476203e-05
44498,35592,0.00017563398505747127,8.7097218390804609e-05
44498,40041,9.1174666666666673e-05,4.4202213725490208e-05
44498,44490,3.7854e-05,1.9959066666666663e-05
58737,0,5.0113500000000001e-05,3.2060703030303028e-05
58737,5873,0.00012184133333333335,6.0660729487179503e-05
58737,11746,0.0002109891448275862,0.00010273038328912466
58737,17619,0.0002968548885057471,0.00012979336945812805
58737,23492,0.00038226798850574714,0.00017414157674104126
58737,29365,0.00046248754367816095,0.00020835193779580798
58737,35238,0.00037060819999999999,0.00016915149874213833
58737,41111,0.00030221269999999997,0.00013366294693877549
58737,46984,0.00020646023333333334,9.7148939743589747e-05
58737,52857,0.00012604398205128206,5.9536465724751455e-05
58737,58730,5.0007066666666671e-05,3.0029388461538469e-05
77532,0,6.4789263218390802e-05,3.9497308974358974e-05
77532,7753,0.00016333943333333333,8.0744584615384611e-05
77532,15506,0.00027388360000000004,0.00012797167692307697
77532,23259,0.00038804230952380948,0.00017153961344537811
77532,31012,0.00050034593333333338,0.00022200489523809517
77532,38765,0.00060455966666666671,0.00027400059811320755
77532,46518,0.00052034759195402312,0.00023591868018931725
77532,54271,0.00038914790000000004,0.00016653832666666668
77532,62024,0.00027468389999999999,0.00012806333205128204
77532,69777,0.00016414069999999998,8.0544061538461521e-05
77532,77530,6.6137466666666675e-05,3.7400746666666668e-05
102342,0,9.2283464367816088e-05,5.5200813387423929e-05
102342,10234,0.00021909806666666669,0.00010798218589743592
102342,20468,0.00036886920000000004,0.00017113264358974362
102342,30702,0.00056284360476190488,0.00026260001142857151
102342,40936,0.0006742668333333333,0.00030025566794871791
102342,51170,0.00081924093333333341,0.00035833150000000015
102342,61404,0.00067948429999999994,0.0003028433679487179
102342,71638,0.00056693414761904758,0.00026492623428571427
102342,81872,0.00038485391609195397,0.00018161387491548339
102342,92106,0.00021996906666666669,0.00010270948000000003
102342,102340,8.7714400000000022e-05,5.387041194968555e-05
135091,0,0.00011636013333333334,6.3793782312925165e-05
135091,13509,0.00029817509999999995,0.00014446548627450976
135091,27018,0.00049863726666666674,0.00023106895384615393
135091,40527,0.00072047160909090898,0.00032347286987522268
135091,54036,0.00091377760000000004,0.00038697372352941171
135091,67545,0.0011123094333333333,0.00049604825254237277
135091,81054,0.00092238829999999989,0.00038818872666666654
135091,94563,0.00076503818333333333,0.00035646911538461543
135091,108072,0.0005223708333333333,0.00024819048627450972
135091,121581,0.00029604909999999998,0.00014536466666666668
135091,135090,0.00011559393333333335,7.0660414285714273e-05
178320,0,0.00015307139999999999,9.1216173076923062e-05
178320,17832,0.00039686376666666669,0.00019534057820512824
178320,35664,0.00067881836666666673,0.00031748630000000006
178320,53496,0.0009902374551724138,0.00045003596889790396
178320,71328,0.0012385223999999998,0.00053639126470588221
178320,89160,0.0015564020816091954,0.00067889380827586211
178320,106992,0.0012605563,0.00054382284117647072
178320,124824,0.0009672848666666666,0.00043624048333333327
178320,142656,0.00067769929999999992,0.00031964696289308171
178320,160488,0.00040121456666666666,0.00019683394285714277
235382,0,0.00020239713333333333,0.00012025250128205127
235382,23538,0.00053131460000000006,0.00026600275723270448
235382,47076,0.00090546253333333333,0.00040639930784313726
235382,70614,0.0012929395999999999,0.00056570066666666657
235382,94152,0.0016740598666666665,0.00071221642156862734
235382,117690,0.0021058070515151514,0.00091466895151515138
235382,141228,0.0017920289666666668,0.00081128208000000009
235382,164766,0.0013012538333333334,0.00057015469411764706
235382,188304,0.00094482357816091955,0.00044113473698444898
235382,211842,0.00053299993333333329,0.00024656083333333327
235382,235380,0.00020238919999999999,0.00012050802435897436
310704,0,0.00027258332745098035,0.00015968202941176468
310704,31070,0.00071968620000000005,0.00035166369871794873
310704,62140,0.0012229498666666665,0.00056554347948717918
310704,93210,0.0017887048145833334,0.000801560349877451
310704,124280,0.0023484349091954025,0.0010227265958620689
310704,155350,0.0028881429977011494,0.0012651630310344828
310704,186420,0.0023213520666666666,0.001018347195238095
310704,217490,0.0017771666666666667,0.00078322347254901965
310704,248560,0.0012415169333333334,0.00055942803529411762
310704,279630,0.00072285580000000006,0.00034955989047619044
310704,310700,0.00027970456321839074,0.00016767326910074366
